MedName,LightSen,Date,StockOut,StockIn,Stock
Acupan 30 mg,No,1/01/2015,-7,150,143
Acupan 30 mg,No,2/01/2015,-6,5,142
Acupan 30 mg,No,3/01/2015,-9,15,148
Acupan 30 mg,No,4/01/2015,-11,0,137
Acupan 30 mg,No,5/01/2015,-8,10,139
Acupan 30 mg,No,6/01/2015,-14,5,130
Acupan 30 mg,No,7/01/2015,-13,5,122
Acupan 30 mg,No,8/01/2015,-4,0,118
Acupan 30 mg,No,9/01/2015,-3,5,120
Acupan 30 mg,No,10/01/2015,-15,0,105
Acupan 30 mg,No,11/01/2015,-4,10,111
Acupan 30 mg,No,12/01/2015,-14,10,107
Acupan 30 mg,No,13/01/2015,-6,10,111
Acupan 30 mg,No,14/01/2015,-10,0,101
Acupan 30 mg,No,15/01/2015,-13,0,88
Acupan 30 mg,No,16/01/2015,-6,10,92
Acupan 30 mg,No,17/01/2015,-7,10,95
Acupan 30 mg,No,18/01/2015,-5,15,105
Acupan 30 mg,No,19/01/2015,-7,5,103
Acupan 30 mg,No,20/01/2015,-12,5,96
Acupan 30 mg,No,21/01/2015,-1,0,95
Acupan 30 mg,No,22/01/2015,-7,0,88
Acupan 30 mg,No,23/01/2015,-15,0,73
Acupan 30 mg,No,24/01/2015,0,10,83
Acupan 30 mg,No,25/01/2015,-2,5,86
Acupan 30 mg,No,26/01/2015,-1,0,85
Acupan 30 mg,No,27/01/2015,0,0,85
Acupan 30 mg,No,28/01/2015,-3,10,92
Acupan 30 mg,No,29/01/2015,0,0,92
Acupan 30 mg,No,30/01/2015,-15,5,82
Acupan 30 mg,No,31/01/2015,-6,10,86
Acupan 30 mg,No,1/02/2015,-7,5,84
Acupan 30 mg,No,2/02/2015,-5,0,79
Acupan 30 mg,No,3/02/2015,-7,5,77
Acupan 30 mg,No,4/02/2015,-6,5,76
Acupan 30 mg,No,5/02/2015,-4,5,77
Acupan 30 mg,No,6/02/2015,-4,0,73
Acupan 30 mg,No,7/02/2015,-15,15,73
Acupan 30 mg,No,8/02/2015,-2,5,76
Acupan 30 mg,No,9/02/2015,-14,5,67
Acupan 30 mg,No,10/02/2015,-14,5,58
Acupan 30 mg,No,11/02/2015,-15,5,48
Acupan 30 mg,No,12/02/2015,0,15,63
Acupan 30 mg,No,13/02/2015,-5,5,63
Acupan 30 mg,No,14/02/2015,-4,10,69
Acupan 30 mg,No,15/02/2015,0,15,84
Acupan 30 mg,No,16/02/2015,-14,0,70
Acupan 30 mg,No,17/02/2015,-11,5,64
Acupan 30 mg,No,18/02/2015,-2,15,77
Acupan 30 mg,No,19/02/2015,-9,10,78
Acupan 30 mg,No,20/02/2015,-2,0,76
Acupan 30 mg,No,21/02/2015,-2,10,84
Acupan 30 mg,No,22/02/2015,-12,0,72
Acupan 30 mg,No,23/02/2015,-2,0,70
Acupan 30 mg,No,24/02/2015,-2,10,78
Acupan 30 mg,No,25/02/2015,-13,15,80
Acupan 30 mg,No,26/02/2015,-15,15,80
Acupan 30 mg,No,27/02/2015,-7,0,73
Acupan 30 mg,No,28/02/2015,-5,10,78
Acupan 30 mg,No,1/03/2015,-13,5,70
Acupan 30 mg,No,2/03/2015,-4,0,66
Acupan 30 mg,No,3/03/2015,-1,5,70
Acupan 30 mg,No,4/03/2015,-9,5,66
Acupan 30 mg,No,5/03/2015,-6,0,60
Acupan 30 mg,No,6/03/2015,-12,10,58
Acupan 30 mg,No,7/03/2015,-3,10,65
Acupan 30 mg,No,8/03/2015,-13,10,62
Acupan 30 mg,No,9/03/2015,-10,15,67
Acupan 30 mg,No,10/03/2015,-13,5,59
Acupan 30 mg,No,11/03/2015,-6,10,63
Acupan 30 mg,No,12/03/2015,-12,5,56
Acupan 30 mg,No,13/03/2015,-2,15,69
Acupan 30 mg,No,14/03/2015,-14,0,55
Acupan 30 mg,No,15/03/2015,-5,5,55
Acupan 30 mg,No,16/03/2015,-8,5,52
Acupan 30 mg,No,17/03/2015,-7,15,60
Acupan 30 mg,No,18/03/2015,-2,5,63
Acupan 30 mg,No,19/03/2015,-13,5,55
Acupan 30 mg,No,20/03/2015,-14,0,41
Acupan 30 mg,No,21/03/2015,-11,0,30
Acupan 30 mg,No,22/03/2015,-12,15,33
Acupan 30 mg,No,23/03/2015,-12,10,31
Acupan 30 mg,No,24/03/2015,-3,0,28
Acupan 30 mg,No,25/03/2015,-12,10,26
Acupan 30 mg,No,26/03/2015,-9,5,22
Acupan 30 mg,No,27/03/2015,-3,10,29
Acupan 30 mg,No,28/03/2015,-8,10,31
Acupan 30 mg,No,29/03/2015,-6,0,25
Acupan 30 mg,No,30/03/2015,-11,10,24
Acupan 30 mg,No,31/03/2015,-7,0,17
Acupan 30 mg,No,1/04/2015,-13,5,9
Acupan 30 mg,No,2/04/2015,-5,10,14
Acupan 30 mg,No,3/04/2015,-2,5,17
Acupan 30 mg,No,4/04/2015,-4,10,23
Acupan 30 mg,No,5/04/2015,-3,10,30
Acupan 30 mg,No,6/04/2015,-11,15,34
Acupan 30 mg,No,7/04/2015,-14,0,20
Acupan 30 mg,No,8/04/2015,-4,5,21
Acupan 30 mg,No,9/04/2015,-14,5,12
Acupan 30 mg,No,10/04/2015,-11,15,16
Acupan 30 mg,No,11/04/2015,-13,10,13
Acupan 30 mg,No,12/04/2015,-15,15,13
Acupan 30 mg,No,13/04/2015,-6,5,12
Acupan 30 mg,No,14/04/2015,-2,10,20
Acupan 30 mg,No,15/04/2015,-8,0,12
Acupan 30 mg,No,16/04/2015,-11,10,11
Acupan 30 mg,No,17/04/2015,-1,15,25
Acupan 30 mg,No,18/04/2015,-15,15,25
Acupan 30 mg,No,19/04/2015,-6,0,19
Acupan 30 mg,No,20/04/2015,-7,0,12
Acupan 30 mg,No,21/04/2015,-15,0,-3
Acupan 30 mg,No,22/04/2015,0,5,2
Acupan 30 mg,No,23/04/2015,-8,5,-1
Acupan 30 mg,No,24/04/2015,-15,0,-16
Acupan 30 mg,No,25/04/2015,-9,5,-20
Acupan 30 mg,No,26/04/2015,-12,10,-22
Acupan 30 mg,No,27/04/2015,-11,10,-23
Acupan 30 mg,No,28/04/2015,-3,10,-16
Acupan 30 mg,No,29/04/2015,-11,5,-22
Acupan 30 mg,No,30/04/2015,-14,0,-36
Acupan 30 mg,No,1/05/2015,-4,10,-30
Acupan 30 mg,No,2/05/2015,-2,5,-27
Acupan 30 mg,No,3/05/2015,-10,10,-27
Acupan 30 mg,No,4/05/2015,-13,15,-25
Acupan 30 mg,No,5/05/2015,-10,5,-30
Acupan 30 mg,No,6/05/2015,-3,10,-23
Acupan 30 mg,No,7/05/2015,-10,15,-18
Acupan 30 mg,No,8/05/2015,-12,0,-30
Acupan 30 mg,No,9/05/2015,-15,10,-35
Acupan 30 mg,No,10/05/2015,-9,15,-29
Acupan 30 mg,No,11/05/2015,-10,15,-24
Acupan 30 mg,No,12/05/2015,-6,15,-15
Acupan 30 mg,No,13/05/2015,-11,0,-26
Acupan 30 mg,No,14/05/2015,-2,15,-13
Acupan 30 mg,No,15/05/2015,-2,0,-15
Acupan 30 mg,No,16/05/2015,-2,10,-7
Acupan 30 mg,No,17/05/2015,-8,15,0
Acupan 30 mg,No,18/05/2015,-14,10,-4
Acupan 30 mg,No,19/05/2015,-11,10,-5
Acupan 30 mg,No,20/05/2015,-1,15,9
Acupan 30 mg,No,21/05/2015,-10,5,4
Acupan 30 mg,No,22/05/2015,-7,10,7
Acupan 30 mg,No,23/05/2015,-12,0,-5
Acupan 30 mg,No,24/05/2015,-8,10,-3
Acupan 30 mg,No,25/05/2015,-11,10,-4
Acupan 30 mg,No,26/05/2015,-14,15,-3
Acupan 30 mg,No,27/05/2015,-6,5,-4
Acupan 30 mg,No,28/05/2015,-5,15,6
Acupan 30 mg,No,29/05/2015,-1,5,10
Acupan 30 mg,No,30/05/2015,-1,15,24
Acupan 30 mg,No,31/05/2015,-14,0,10
Acupan 30 mg,No,1/06/2015,-8,15,17
Acupan 30 mg,No,2/06/2015,-6,10,21
Acupan 30 mg,No,3/06/2015,-7,0,14
Acupan 30 mg,No,4/06/2015,-4,15,25
Acupan 30 mg,No,5/06/2015,0,10,35
Acupan 30 mg,No,6/06/2015,-7,10,38
Acupan 30 mg,No,7/06/2015,0,10,48
Acupan 30 mg,No,8/06/2015,-5,0,43
Acupan 30 mg,No,9/06/2015,-13,15,45
Acupan 30 mg,No,10/06/2015,-12,10,43
Acupan 30 mg,No,11/06/2015,-13,10,40
Acupan 30 mg,No,12/06/2015,-12,5,33
Acupan 30 mg,No,13/06/2015,0,10,43
Acupan 30 mg,No,14/06/2015,-6,10,47
Acupan 30 mg,No,15/06/2015,-12,5,40
Acupan 30 mg,No,16/06/2015,-7,0,33
Acupan 30 mg,No,17/06/2015,-10,5,28
Acupan 30 mg,No,18/06/2015,-3,10,35
Acupan 30 mg,No,19/06/2015,-10,10,35
Acupan 30 mg,No,20/06/2015,-14,5,26
Acupan 30 mg,No,21/06/2015,-10,10,26
Acupan 30 mg,No,22/06/2015,-15,15,26
Acupan 30 mg,No,23/06/2015,-6,10,30
Acupan 30 mg,No,24/06/2015,-15,15,30
Acupan 30 mg,No,25/06/2015,-12,15,33
Acupan 30 mg,No,26/06/2015,-3,0,30
Acupan 30 mg,No,27/06/2015,-7,15,38
Acupan 30 mg,No,28/06/2015,-6,15,47
Acupan 30 mg,No,29/06/2015,-8,0,39
Acupan 30 mg,No,30/06/2015,-1,5,43
Acupan 30 mg,No,1/07/2015,-7,10,46
Acupan 30 mg,No,2/07/2015,-8,0,38
Acupan 30 mg,No,3/07/2015,0,5,43
Acupan 30 mg,No,4/07/2015,-4,15,54
Acupan 30 mg,No,5/07/2015,-9,15,60
Acupan 30 mg,No,6/07/2015,-12,5,53
Acupan 30 mg,No,7/07/2015,-11,15,57
Acupan 30 mg,No,8/07/2015,-4,0,53
Acupan 30 mg,No,9/07/2015,-7,0,46
Acupan 30 mg,No,10/07/2015,-1,5,50
Acupan 30 mg,No,11/07/2015,-5,0,45
Acupan 30 mg,No,12/07/2015,-5,15,55
Acupan 30 mg,No,13/07/2015,-5,0,50
Acupan 30 mg,No,14/07/2015,-12,10,48
Acupan 30 mg,No,15/07/2015,-13,0,35
Acupan 30 mg,No,16/07/2015,-8,0,27
Acupan 30 mg,No,17/07/2015,-3,5,29
Acupan 30 mg,No,18/07/2015,-4,10,35
Acupan 30 mg,No,19/07/2015,-13,10,32
Acupan 30 mg,No,20/07/2015,-7,15,40
Acupan 30 mg,No,21/07/2015,-8,5,37
Acupan 30 mg,No,22/07/2015,-14,5,28
Acupan 30 mg,No,23/07/2015,-2,5,31
Acupan 30 mg,No,24/07/2015,-8,0,23
Acupan 30 mg,No,25/07/2015,0,15,38
Acupan 30 mg,No,26/07/2015,-13,0,25
Acupan 30 mg,No,27/07/2015,-14,10,21
Acupan 30 mg,No,28/07/2015,-11,10,20
Acupan 30 mg,No,29/07/2015,-9,10,21
Acupan 30 mg,No,30/07/2015,-3,5,23
Acupan 30 mg,No,31/07/2015,-9,10,24
Acupan 30 mg,No,1/08/2015,-14,0,10
Acupan 30 mg,No,2/08/2015,-8,0,2
Acupan 30 mg,No,3/08/2015,-10,15,7
Acupan 30 mg,No,4/08/2015,-7,15,15
Acupan 30 mg,No,5/08/2015,0,5,20
Acupan 30 mg,No,6/08/2015,-3,10,27
